Pair,N_valid,CMI_mean,CMI_std,CMI_min
Model_A + Model_E,45138,0.083664,0.001461,0.082532
Model_B + Model_E,45141,0.076937,0.001497,0.075053
Model_A + Model_D,45248,0.062616,0.00331,0.056341
Model_B + Model_D,45242,0.057118,0.001417,0.055513
Model_C + Model_E,45056,0.053978,0.002922,0.051285
Model_C + Model_D,45182,0.041353,0.00195,0.038973
Model_A + Model_C,45158,0.035913,0.00156,0.033504
Model_B + Model_C,45151,0.033019,0.000831,0.031697
Model_D + Model_E,45162,0.02547,0.001847,0.022897
Model_A + Model_B,45241,0.015927,0.00058,0.014907
