Pair,N_valid,JMI_mean,JMI_std,JMI_min
Model_A + Model_B,45241,0.177565,0.005868,0.169347
Model_A + Model_C,45158,0.173385,0.003662,0.168071
Model_A + Model_D,45248,0.171274,0.005763,0.163022
Model_A + Model_E,45138,0.170497,0.002641,0.167108
Model_B + Model_C,45151,0.16311,0.00123,0.161076
Model_B + Model_D,45242,0.158636,0.003111,0.15396
Model_B + Model_E,45141,0.156771,0.002704,0.153184
Model_C + Model_D,45182,0.119073,0.005148,0.112403
Model_C + Model_E,45056,0.109829,0.005729,0.104746
Model_D + Model_E,45162,0.051767,0.003372,0.046597
