Model,N_valid,ChargeOff_Rate,AUC,KS,Gini,Top10pct_Capture,LR_coef_m1,LR_coef_m2
Model_A + Model_B,45241,0.416,0.8071,0.456,0.6142,0.0126,-1.0102,-0.4709
Model_A + Model_C,45158,0.4164,0.8061,0.4534,0.6122,0.0122,-1.3322,-0.1448
Model_A + Model_D,45248,0.4159,0.8056,0.452,0.6112,0.0126,-1.4127,-0.0538
Model_A + Model_E,45138,0.4148,0.8046,0.4504,0.6092,0.012,-1.4331,-0.0164
Model_B + Model_C,45151,0.4172,0.798,0.4461,0.596,0.0136,-1.1465,-0.2934
Model_B + Model_D,45242,0.4168,0.7951,0.4396,0.5901,0.0141,-1.2883,-0.1247
Model_B + Model_E,45141,0.4155,0.7939,0.438,0.5878,0.0146,-1.3439,-0.0322
Model_C + Model_D,45182,0.4171,0.7577,0.378,0.5154,0.0216,-0.9114,-0.3382
Model_C + Model_E,45056,0.416,0.748,0.3666,0.4961,0.0245,-1.0319,-0.0898
Model_D + Model_E,45162,0.416,0.6762,0.2562,0.3525,0.0422,-0.6481,-0.1441
