Model,AUC,KS,Gini,Top10pct_Capture,rank_AUC,rank_KS,rank_Gini,rank_Top10pct_Capture,Composite_Rank
Model_A + Model_B,0.8071,0.456,0.6142,0.0126,1.0,1.0,1.0,7.5,2.625
Model_A + Model_C,0.8061,0.4534,0.6122,0.0122,2.0,2.0,2.0,9.0,3.75
Model_A + Model_D,0.8056,0.452,0.6112,0.0126,3.0,3.0,3.0,7.5,4.125
Model_B + Model_C,0.798,0.4461,0.596,0.0136,5.0,5.0,5.0,6.0,5.25
Model_A + Model_E,0.8046,0.4504,0.6092,0.012,4.0,4.0,4.0,10.0,5.5
Model_B + Model_D,0.7951,0.4396,0.5901,0.0141,6.0,6.0,6.0,5.0,5.75
Model_B + Model_E,0.7939,0.438,0.5878,0.0146,7.0,7.0,7.0,4.0,6.25
Model_C + Model_D,0.7577,0.378,0.5154,0.0216,8.0,8.0,8.0,3.0,6.75
Model_C + Model_E,0.748,0.3666,0.4961,0.0245,9.0,9.0,9.0,2.0,7.25
Model_D + Model_E,0.6762,0.2562,0.3525,0.0422,10.0,10.0,10.0,1.0,7.75
