Pair,N_valid,CMI_mean,CMI_std,JMI_mean,JMI_std
Model_A + Model_E,45138,0.083664,0.001461,0.170497,0.002641
Model_B + Model_E,45141,0.076937,0.001497,0.156771,0.002704
Model_A + Model_D,45248,0.062616,0.00331,0.171274,0.005763
Model_B + Model_D,45242,0.057118,0.001417,0.158636,0.003111
Model_C + Model_E,45056,0.053978,0.002922,0.109829,0.005729
Model_C + Model_D,45182,0.041353,0.00195,0.119073,0.005148
Model_A + Model_C,45158,0.035913,0.00156,0.173385,0.003662
Model_B + Model_C,45151,0.033019,0.000831,0.16311,0.00123
Model_D + Model_E,45162,0.02547,0.001847,0.051767,0.003372
Model_A + Model_B,45241,0.015927,0.00058,0.177565,0.005868
