Model_A_tier,Model_B_tier,N,ChargeOffs,CO_Rate,Combined_Score,Risk_Tier
5,5,7112,5921,0.8325,10,Low Risk
5,4,1827,1269,0.6946,9,Medium-Low
5,3,219,143,0.653,8,Medium-Low
5,2,6,1,0.1667,7,Medium
4,5,1812,1187,0.6551,9,Medium-Low
4,4,4569,2603,0.5697,8,Medium-Low
4,3,2259,1122,0.4967,7,Medium
4,2,371,173,0.4663,6,Medium
4,1,12,4,0.3333,5,Medium-High
3,5,220,112,0.5091,8,Medium-Low
3,4,2336,1097,0.4696,7,Medium
3,3,4066,1600,0.3935,6,Medium
3,2,2226,727,0.3266,5,Medium-High
3,1,194,59,0.3041,4,Medium-High
2,5,8,3,0.375,7,Medium
2,4,392,123,0.3138,6,Medium
2,3,2284,613,0.2684,5,Medium-High
2,2,4571,967,0.2116,4,Medium-High
2,1,1890,327,0.173,3,High Risk
1,4,7,2,0.2857,5,Medium-High
1,3,215,31,0.1442,4,Medium-High
1,2,1860,243,0.1306,3,High Risk
1,1,6785,493,0.0727,2,High Risk
