Model_A_tier,Model_E_tier,N,ChargeOffs,CO_Rate
5,5,2499,2037,0.8151
5,4,1999,1587,0.7939
5,3,1819,1450,0.7971
5,2,1517,1200,0.791
5,1,1290,1025,0.7946
4,5,2078,1165,0.5606
4,4,1890,1096,0.5799
4,3,1840,1023,0.556
4,2,1636,938,0.5733
4,1,1560,837,0.5365
3,5,1811,742,0.4097
3,4,1836,743,0.4047
3,3,1766,680,0.3851
3,2,1847,726,0.3931
3,1,1766,693,0.3924
2,5,1553,374,0.2408
2,4,1843,413,0.2241
2,3,1857,403,0.217
2,2,1898,417,0.2197
2,1,1967,421,0.214
1,5,1218,106,0.087
1,4,1536,134,0.0872
1,3,1793,153,0.0853
1,2,1984,162,0.0817
1,1,2335,199,0.0852
