Model_A_tier,Model_B_tier,N,ChargeOffs,CO_Rate,Risk_Tier
5,5,7112,4683,0.6585,High Risk
5,4,1827,889,0.4866,High Risk
5,3,219,87,0.3973,Medium-High
5,2,6,4,0.6667,High Risk
4,5,1812,719,0.3968,Medium-High
4,4,4569,1539,0.3368,Medium-High
4,3,2259,600,0.2656,Medium-High
4,2,371,91,0.2453,Medium-High
4,1,12,1,0.0833,Medium
3,5,220,70,0.3182,Medium-High
3,4,2336,586,0.2509,Medium-High
3,3,4066,766,0.1884,Medium
3,2,2226,320,0.1438,Medium
3,1,194,28,0.1443,Medium
2,5,8,2,0.25,Medium-High
2,4,392,51,0.1301,Medium
2,3,2284,276,0.1208,Medium
2,2,4571,412,0.0901,Medium
2,1,1890,127,0.0672,Medium-Low
1,4,7,2,0.2857,Medium-High
1,3,215,12,0.0558,Medium-Low
1,2,1860,89,0.0478,Medium-Low
1,1,6785,189,0.0279,Low Risk
